generation,best_penalty,average_penalty
0,99.0,164.0
1,99.0,168.0
2,99.0,150.0
3,99.0,149.0
4,99.0,144.0
5,99.0,147.0
6,99.0,136.0
7,99.0,142.0
8,99.0,143.0
9,99.0,141.0
10,99.0,141.0
11,99.0,135.0
12,99.0,128.0
13,99.0,132.0
14,99.0,129.0
15,99.0,130.0
16,99.0,124.0
17,99.0,133.0
18,99.0,125.0
19,99.0,132.0
20,99.0,122.0
21,99.0,109.0
22,99.0,120.0
23,99.0,122.0
24,99.0,112.0
25,99.0,114.0
26,99.0,111.0
27,99.0,103.0
28,99.0,103.0
29,96.0,96.0
30,96.0,101.0
31,96.0,110.0
32,96.0,113.0
33,96.0,106.0
34,96.0,104.0
35,96.0,113.0
36,96.0,105.0
37,96.0,112.0
38,96.0,108.0
39,96.0,106.0
40,96.0,106.0
41,96.0,108.0
42,96.0,106.0
43,95.0,95.0
44,95.0,103.0
45,95.0,107.0
46,95.0,109.0
47,95.0,98.0
48,95.0,102.0
49,95.0,101.0
50,95.0,98.0
51,94.0,94.0
52,94.0,95.0
53,94.0,100.0
54,94.0,99.0
55,94.0,106.0
56,94.0,98.0
57,94.0,96.0
58,93.0,93.0
59,92.0,92.0
60,90.0,90.0
61,90.0,94.0
62,90.0,95.0
63,90.0,103.0
64,90.0,98.0
65,90.0,93.0
66,90.0,96.0
67,90.0,95.0
68,90.0,93.0
69,90.0,98.0
70,90.0,97.0
71,90.0,101.0
72,90.0,91.0
73,90.0,94.0
74,87.0,87.0
75,87.0,91.0
76,87.0,91.0
77,87.0,89.0
78,87.0,91.0
79,87.0,98.0
80,87.0,92.0
81,87.0,88.0
82,85.0,85.0
83,85.0,91.0
84,85.0,95.0
85,85.0,95.0
86,85.0,89.0
87,85.0,92.0
88,85.0,88.0
89,85.0,92.0
90,85.0,93.0
91,85.0,100.0
92,85.0,100.0
93,85.0,87.0
94,85.0,92.0
95,85.0,90.0
96,85.0,98.0
97,85.0,103.0
98,85.0,99.0
99,85.0,103.0
100,85.0,102.0
101,85.0,97.0
102,85.0,103.0
103,85.0,92.0
104,85.0,97.0
105,85.0,87.0
106,85.0,88.0
107,85.0,93.0
108,85.0,92.0
109,85.0,91.0
110,85.0,90.0
111,85.0,92.0
112,85.0,85.0
113,85.0,92.0
114,84.0,84.0
115,82.0,82.0
116,82.0,94.0
117,82.0,91.0
118,82.0,92.0
119,82.0,87.0
120,81.0,81.0
121,81.0,83.0
122,81.0,87.0
123,81.0,86.0
124,81.0,85.0
125,81.0,89.0
126,81.0,104.0
127,81.0,90.0
128,81.0,91.0
129,81.0,91.0
130,81.0,94.0
131,81.0,97.0
132,81.0,98.0
133,81.0,89.0
134,81.0,98.0
135,81.0,94.0
136,81.0,91.0
137,81.0,86.0
138,81.0,95.0
139,81.0,89.0
140,81.0,88.0
141,81.0,86.0
142,81.0,87.0
143,81.0,89.0
144,81.0,99.0
145,81.0,88.0
146,81.0,87.0
147,81.0,90.0
148,81.0,83.0
149,81.0,83.0
150,81.0,91.0
151,81.0,90.0
152,81.0,91.0
153,81.0,93.0
