population_size,descent_cycles,generations,final_best_solution,final_average_solution,runtime_seconds
25,25,11,0.0,908.44,11.5613431930542
25,50,14,0.0,710.08,12.948190450668335
25,100,2,0.0,1518.08,10.533987760543823
25,200,1,0.0,1584.48,9.924088954925537
50,25,32,0.0,577.72,26.740649938583374
50,50,15,0.0,1135.0,25.41249656677246
50,100,16,0.0,1101.92,24.619810819625854
50,200,17,0.0,1078.9,24.850440502166748
100,25,18,0.0,1342.04,45.58350706100464
100,50,37,0.0,1022.87,61.82352352142334
100,100,27,0.0,1188.32,58.13740158081055
100,200,39,0.0,988.24,59.99085283279419
200,25,29,0.0,1397.21,143.52517819404602
200,50,82,0.0,959.7,268.33845233917236
200,100,79,0.0,978.945,298.6063220500946
200,200,39,0.0,1318.965,209.99875664710999
