population_size,descent_cycles,generations,final_best_solution,final_average_solution,runtime_seconds
25,25,5000,1.0,1.0,74.24751543998718
25,50,5000,1.0,1.0,74.6589138507843
25,100,5000,1.0,1.0,73.63089942932129
25,200,5000,2.0,2.96,76.63256525993347
50,25,2600,0.0,1.68,53.2465934753418
50,50,1804,0.0,1.74,40.472848653793335
50,100,5000,1.0,1.0,90.86959934234619
50,200,5000,1.0,1.0,95.71847033500671
100,25,4396,0.0,2.46,100.68941879272461
100,50,4613,0.0,2.45,107.70416283607483
100,100,5000,1.0,3.26,108.57019543647766
100,200,3159,0.0,3.32,76.16662669181824
200,25,5000,16.0,24.275,140.09501147270203
200,50,5000,12.0,21.48,141.856835603714
200,100,5000,14.0,23.185,169.23091864585876
200,200,5000,14.0,20.695,148.95934319496155
